sweep,degree,procs,avg_serial,avg_mpi_send,avg_mpi_compute,avg_mpi_receive,avg_mpi_total,avg_mpi_speedup,avg_pthreads,avg_pthreads_speedup
degree,10000,4,0.069293,0.000273,0.024859,0.000266,0.025398,2.795000,0.032822,2.102500
degree,50000,4,1.571182,0.000886,0.442964,0.000828,0.444679,3.545000,0.637176,2.467500
degree,100000,4,6.301335,0.001127,1.728668,0.001593,1.731388,3.645000,2.557982,2.465000
degree,120000,4,9.069841,0.001230,2.675405,0.001875,2.678510,3.387500,3.616618,2.510000
degree,130000,4,10.648423,0.001328,3.483202,0.002028,3.486559,3.057500,4.230516,2.517500
degree,140000,4,12.346907,0.001590,4.575793,0.002276,4.579659,2.702500,4.979883,2.480000
degree,160000,4,16.126213,0.001799,7.083720,0.002601,7.088121,2.275000,6.513311,2.480000
degree,200000,4,25.299720,0.002225,13.214390,0.003137,13.219752,1.912500,10.141467,2.495000
procs,100000,1,5.787943,0.000549,5.808698,0.000774,5.810021,1.000000,5.096828,1.137500
procs,100000,2,5.973907,0.000631,3.003751,0.000854,3.005236,1.987500,5.243264,1.140000
procs,100000,4,6.288082,0.002881,1.640487,0.001543,1.644912,3.822500,2.488112,2.532500
procs,100000,8,12.599747,0.007604,1.748569,0.004167,1.760340,7.162500,2.730987,4.612500
