sweep,degree,repeat,init,scalar,simd,speedup,correctness
degree,10000,1,0.001264,0.086708,0.015164,5.72,OK
degree,10000,2,0.000620,0.077617,0.015057,5.15,OK
degree,10000,3,0.000279,0.056846,0.014988,3.79,OK
degree,10000,4,0.000276,0.056504,0.014951,3.78,OK
degree,50000,1,0.000944,1.435219,0.446914,3.21,OK
degree,50000,2,0.002807,1.438033,0.445470,3.23,OK
degree,50000,3,0.002863,1.442883,0.449347,3.21,OK
degree,50000,4,0.000972,1.438922,0.448746,3.21,OK
degree,100000,1,0.001900,5.771143,1.890888,3.05,OK
degree,100000,2,0.001961,5.762264,1.856404,3.10,OK
degree,100000,3,0.004389,5.769355,1.892225,3.05,OK
degree,100000,4,0.001849,5.766108,1.895084,3.04,OK
degree,200000,1,0.003746,23.082524,7.572665,3.05,OK
degree,200000,2,0.003811,23.057297,7.450974,3.09,OK
degree,200000,3,0.003715,23.072877,7.449976,3.10,OK
degree,200000,4,0.003750,23.051967,7.446107,3.10,OK
degree,500000,1,0.011832,146.379471,50.245321,2.91,OK
degree,500000,2,0.012363,145.718947,49.038842,2.97,OK
degree,500000,3,0.009221,147.181353,49.454492,2.98,OK
degree,500000,4,0.012426,145.983234,48.222630,3.03,OK
